fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
132,22025,Bournemouth,Aston Villa,Bournemouth,Aston Villa
135,22029,Chelsea,Brighton,Chelsea,Brighton
136,22030,Liverpool,Fulham,Liverpool,Fulham
140,22034,West Ham,Crystal Palace,West Ham,Crystal Palace
137,22031,Man City,Spurs,Manchester City,Tottenham
149,22042,Wolves,Burnley,Wolverhampton Wanderers,Burnley
146,22039,Luton,Arsenal,Luton,Arsenal
142,22036,Brighton,Brentford,Brighton,Brentford
145,22038,Fulham,Nott'm Forest,Fulham,Nottingham Forest
147,22040,Sheffield Utd,Liverpool,Sheffield United,Liverpool
143,22043,Crystal Palace,Bournemouth,Crystal Palace,Bournemouth
141,22035,Aston Villa,Man City,Aston Villa,Manchester City
150,22044,Man Utd,Chelsea,Manchester United,Chelsea
144,22037,Everton,Newcastle,Everton,Newcastle United
148,22041,Spurs,West Ham,Tottenham,West Ham
153,22047,Crystal Palace,Liverpool,Crystal Palace,Liverpool
152,22046,Brighton,Burnley,Brighton,Burnley
157,22051,Man Utd,Bournemouth,Manchester United,Bournemouth
