fpl_code,understat_id,fpl_name,understat_name
447715,9913,Aaron Ramsey A.Ramsey,Aaron Ramsey
213999,11926,Edson Álvarez Velázquez,Edson Álvarez
437748,12094,Mike Trésor M.Trésor,Mike Trésor
503714,9451,Lesley Ugochukwu,Chimuanya Ugochukwu
465607,7967,Anssumane Fati Vieira Ansu Fati,Anssumane Fati
491012,11984,Youssef Ramalho Chermiti Y. Chermiti,Youssef Chermiti
241231,6557,Jordan Beyer,Louis Beyer
223434,7943,Igor Julio dos Santos de Paulo,Igor Julio
183751,11702,Manuel Benson Hedilazio,Benson Manuel
441455,11700,Victor da Silva Vitinho,Vitinho
424001,10872,Vini de Souza Costa Vini Souza,Vinicius Souza
575476,12123,Murillo Santiago Costa dos Santos,Murillo
486385,9983,Norberto Bercique Gomes Betuncal Beto,Beto
585472,12158,Ryan Oné,Ryan Oné
547716,12198,Ben Parkinson,Ben Parkinson
96784,12187,Jordan Clark,Jordan Clark
169593,9834,Remi Matthews,Remi Matthews
199056,12151,Gabriel Osho,Gabriel Osho
504598,11987,Daniel Gore,Daniel Gore
248859,12200,Amadou Diallo,Amadou Diallo
490150,12215,Michael Ndiweni,Michael Ndiweni
513588,12118,Jamie Donley,Jamie Donley
518466,12275,Willy Kambwala,Willy Kambwala
443211,12291,Rhys Norrington-Davies,Rhys Norrington-Davies
213198,3300,Christopher Nkunku,Christopher Nkunku
475480,12204,Benicio Baker-Boaitey,Benicio Baker-Boaitey
457569,12032,Djordje Petrovic,Djordje Petrovic
503139,12149,Alex Scott,Alex Scott
514280,11595,Alfie Gilchrist,Alfie Gilchrist
552425,12251,Sydie Peck,Sydie Peck
450539,10205,Myles Peart-Harris,Myles Peart-Harris
491501,11811,James McConnell,James McConnell
478969,11704,Hjalmar Ekdal,Hjalmar Ekdal
111452,375,Odysseas Vlachodimos,Odisseas Vlachodimos
215531,1830,Ionuț Radu,Ionut Radu
508395,11772,Yegor Yarmoliuk,Yehor Yarmolyuk
231480,10945,Santiago Bueno S.Bueno,Santiago Bueno
545477,12199,Alex Murphy A.Murphy,Alex Murphy
536694,12152,Matheus França de Oliveira,Matheus França
617054,12033,Deivid Washington de Souza Eugênio,Deivid Washington
532605,11808,Andrey Nascimento dos Santos,Andrey Santos
225897,5803,Fodé Ballo-Touré,Fode Toure

85633,6903,Matz Sels,Matz Sels
209293,12509,Daiki Hashioka,Daiki Hashioka
430992,10119,Owen Beck,Owen Beck
487828,12340,Omari Forson,Omari Forson
532372,12449,Oliver Arblaster,Oliver Arblaster
441240,6420,Romain Faivre,Romain Faivre
427420,8191,Giovanni Reyna,Giovanni Reyna
531363,11210,Nathan Fraser,Nathan Fraser
